Composition,Eg_exp,Eg_DFT
Ga2Se3,2.3,1.0436
Ga2Se3,2.3,0.5838
Ga2Te3,1.45,0.183
Ga2Te3,1.45,0.364
Ga2Te3,1.45,0.6375
GaAs,1.46,0.0077
GaAs,1.46,0.1861
GaAs,1.46,0.2238
GaGeTe,1.1,0.1672
GaHSeO4,5.51,4.1423
GaN,3.25,0.9819
GaN,3.25,0.8257
GaN,3.25,0.1606
GaN,3.25,0.0487
GaN,3.25,0.0327
GaN,3.25,0.0691
GaN,3.25,0.0344
GaN,3.25,0.1321
GaN,3.25,0.0875
GaN,3.25,0.1557
GaN,3.25,0.0874
GaN,3.25,0.0592
GaN,3.25,0.0022
GaN,3.25,0.0364
GaN,3.25,0.0753
GaN,3.25,0.0968
GaN,3.25,0.0099
GaN,3.25,0.0262
GaN,3.25,0.0195
GaN,3.25,0.0831
GaN,3.25,0.1887
GaN,3.25,0.4207
GaN,3.25,1.7265
GaN,3.25,1.5701
GaP,2.77,0.8334
GaP,2.77,1.6039
GaP,2.77,1.3002
GaP,2.77,0.2108
GaS,2.593,2.0036
GaS,2.593,2.0183
GaS,2.593,1.8665
GaSe,2,1.2233
GaSe,2,1.2406
GaSe,2,1.2387
GaSe,2,1.2121
GaTe,1.797,0.7853
GaTe,1.797,1.0066
Gd2O3,5.3,1.325
Gd2O3,5.3,2.97
Gd2O3,5.3,2.9411
Gd2O3,5.3,2.9057
Gd2S3,2.55,0.4598
Gd2S3,2.55,0.5267
Gd2S3,2.55,1.1643
Gd2Se3,2.2,0.449
Gd2Te3,0.74,0.0565
Gd4GaSbS9,2.41,1.5642
GdScS3,2.1,1.1774
Ge2Sb2Te5,0.5,0.2495
Ge2Sb2Te5,0.5,0.0189
GeAs,1.45,0.5113
GeAs2,1.1,0.7196
GeI2,1.5,2.0087
GeI2,1.5,2.0217
GeI2,1.5,1.965
GeO2,5.54,1.3715
GeO2,5.54,1.5228
GeO2,5.54,3.2454
GeO2,5.54,0.9845
GeO2,5.54,3.2493
GeO2,5.54,0.7937
GeO2,5.54,1.2157
GeO2,5.54,3.2501
GeO2,5.54,3.2779
GeP,0.95,0.4889
GeS,1.8,0.5488
GeS,1.8,1.2376
GeS2,3.71,0.9558
GeS2,3.71,2.2279
GeS2,3.71,2.8353
GeS2,3.71,2.2543
GeS2,3.71,2.2646
GeS2,3.71,2.1393
GeS2,3.71,2.149
GeS2,3.71,2.5975
GeSe,1.22,0.0153
GeSe,1.22,0.8988
GeSe2,2.38,1.5188
GeSe2,2.38,1.4892
GeSe2,2.38,1.7063
HfC,0,0.2957
HfO2,5.55,4.6678
HfO2,5.55,3.7545
HfO2,5.55,3.7691
HfO2,5.55,3.4783
HfO2,5.55,3.7499
HfO2,5.55,3.6201
HfO2,5.55,3.401
HfO2,5.55,4.2272
HfO2,5.55,4.0165
HfO2,5.55,3.8043
HfO2,5.55,4.4148
HfO2,5.55,3.3929
HfO2,5.55,4.1083
HfO2,5.55,4.264
HfO2,5.55,3.9025
HfS2,2.9,1.2237
HfS3,2.85,1.1326
HfSe2,2.2,0.5342
HgBr2,3.59,2.036
HgBr2,3.59,2.5527
HgBr2,3.59,1.6827
HgBrCl,3.4,2.7804
HgBrCl,3.4,2.5935
HgCl2,4.45,3.5289
HgCl2,4.45,2.8686
HgO,2.214,1.2712
HgO,2.214,1.1867
HgO,2.214,1.214
HgO,2.214,1.3101
HgPS3,2.6,1.7549
HgS,2.1,1.7077
HgS,2.1,1.6863
HgSe,0.12,1.0432
HgTe,0.175,0.2789
HgTe,0.175,0.4802
Ho2HfS5,1,1.2172
Ho2O3,5.42,1.517
Ho2O3,5.42,4.2423
Ho2O3,5.42,4.0575
Ho2O3,5.42,3.9458
Ho2S3,0.5,1.9342
Ho2S3,0.5,1.4613
Ho2S3,0.5,0.6114
Ho2S3,0.5,2.4745
Ho4C7,0,0.751
HoN,1.9,0.0875
HoSi,0,2.7206
In2Bi3Se7I,1.38,1.1487
In2O3,2.8,0.7627
In2O3,2.8,0.2217
In2O3,2.8,0.8796
In2O3,2.8,0.6708
In2O3,2.8,0.6812
In2O3,2.8,0.9586
In2O3,2.8,0.6305
In2O3,2.8,0.5803
In2S3,2,0.8171
In2S3,2,0.8856
In2S3,2,0.2802
In2S3,2,1.6041
In2S3,2,0.4849
In2Se2O7,2.97,2.8578
In2Se3,1.2,0.1045
In2Se3,1.2,0.9903
In2Se3,1.2,0.9081
In4Se3,0.64,0.1504
In4Te3,0.55,0.1224
In6S7,0.7,0.3186
In6Se7,0.34,0.4608
In6Se7,0.34,0.019
InAs,0.425,0.5748
InBi2S4Br,1.5,1.627
InBi2S4Cl,1.5,1.5805
InBi2Se4Br,1.21,1.2945
InP,1.5,0.4546
InP,1.5,0.528
InPS4,3.12,2.3185
InS,2.07,1.3508
InS,2.07,0.4359
InSb2S4Br,1.8,1.5308
InSb2S4Cl,1.8,1.5525
InSb2Se4Br,1.35,1.1103
InSe,1.32,0.6561
InSe,1.32,0.459
InSe,1.32,1.0804
InSe,1.32,0.6375
InSiTe3,0,0.4816
IrS2,0.9,0.5371
IrSe2,0.9,0.0517
K10Zn4Sn4S17,3.1,2.1377
K2Ag3Sb3S7,2.2,1.8382
K2Al2B2O7,6.89,4.5822
K2Al2B2O7,6.89,4.5949
K2B10H9O,0,0.0061
K2Bi8Se13,0.47,0.1365
K2Bi8Se13,0.47,0.8361
K2Cd2Te3,1.93,1.8823
K2Cd3S4,2.75,1.9018
K2Cd3Se4,2.36,1.4028
K2Cd3Te4,2.26,1.438
K2FeGe3Se8,1.95,0.1132
K2Gd2Sb2Se9,1.33,0.9272
K2Ho4Cu4S9,2.43,0.8687
K2Ho4Cu4S9,2.43,1.184
K2La2Sb2S9,2.2,1.1627
K2La2Ti3O10,3.05,1.7335
K2MnSnSe4,1.7,0.2833
K2Mo2Se2O11,3.3,2.787
K2Nd2Ti3O10,3.25,2.2681
K2PdSe10,1.48,1.0743
K2RbSb,1.2,0.6879
K2ReH9,5.71,5.213
K2S,2.1,2.3201
K2S,2.1,2.0612
K2Se,1.8,2.0925
K2SmP2S7,2.59,2.2591
K2Te,1.9,2.141
K2TeI6,1.38,1.7449
K2ZnTe2,3,2.0537
K3Bi2I9,2.1,2.5425
K3NaSn3Se8,2.2,1.6836
K3Nb2AsSe11,1.53,1.1802
K3Ta2AsS11,2.21,1.8918
K3Ta2AsSe11,1.45,1.2087
K3Ti2P5S18,1.61,1.1873
K4GeS4,0.8,2.7142
K4GeSe4,0.64,1.9993
K4Nb2S11,2.42,1.4656
K5In3P6Se19,2.2,1.0646
K6Cd4Sn3Se13,2.33,1.4058
K6CdTe4,2.51,1.6614
KAg2PS4,3.02,1.2441
KAg2SbS3,2.1,1.6883
KAg2SbS4,2.2,0.5696
KAgO,0,1.4858
KAsSe2,1.63,1.5959
KBaAsSe3,2.26,1.6299
KBaB5O9,3.65,5.0637
KBaSbSe3,2.04,1.7736
KBi3S5,1.21,1.4227
KBiO3,0,0.4914
KBiO3,0,0.1862
KBiO3,0,0.4906
KBiS2,0.9,1.4158
KBiSe2,0.7,0.8131
KBr,7.6,4.3224
KBr,7.6,3.8761
KCl,8.5,5.027
KCl,8.5,4.8005
KCoO2,0,0.5209
KCoO2,0,0.1171
KCoO2,0,1.3214
KCu2SbS3,1.53,0.9539
KCu3S2,1.459,0.4727
KCu4AsS4,1.9,1.2885
KCuPO4,0,0.1717
KCuPO4,0,0.1287
KF,10.3,5.9494
KF,10.3,6.2747
KI,6.31,3.7452
KI,6.31,4.4414
KI,6.31,3.8513
KI,6.31,3.2404
KI,6.31,4.0666
KInS2,3,2.0145
KInSe2,2.68,1.5423
KInSe2,2.68,1.8437
KIO3,3.83,2.8548
KIO3,3.83,2.813
KIO3,3.83,2.8533
KIO3,3.83,2.5295
KIO3,3.83,2.7868
KIO3,3.83,3.5428
KIO3,3.83,2.5682
KLi(WO3)3,0,1.0924
KPSe6,2.16,1.9067
KSb,0.9,0.8246
KSb5S8,1.82,1.5916
KSbS2,1.6,1.601
KSbSe2,1.14,1.4532
KSbSe2,1.14,1.1298
KSm2CuS4,2.17,1.013
KTaO3,3.5,2.0995
KTiPO5,3.8,2.7252
KTiPO5,3.8,3.0598
KV6O11,0,0.3273
KZrPSe6,2,0.0146
La10Mn9O30,0,0.0317
La2CuO4,0,0.0552
La2HfS5,0.7,1.0901
La2MnNiO6,1.2,1.2797
La2MnNiO6,1.2,1.5805
La2MoO5,0.49,0.5206
La2Nb2N2O5,0,2.0354
La2Nb2N2O5,0,1.4684
La2Nb2N2O5,0,1.5551
La2Nb2N2O5,0,1.4914
La2Nb2N2O5,0,1.6053
La2Nb2N2O5,0,1.5557
La2Nb2N2O5,0,1.5454
La2O3,5.4,3.8248
La2O3,5.4,3.3008
La2O3,5.4,0.3996
La2O3,5.4,1.5342
La2O3,5.4,3.411
La2S3,2.77,1.9531
La2S3,2.77,1.0358
La2Se3,1.97,1.58
La2ZrS5,2.01,1.0739
La3CuGeSe7,2,1.1936
La3LuSe6,1.26,0.4845
La4Cd4In2S13,2.27,1.1569
La4InSbS9,2.07,2.2196
La8Sb2S15,2.3,1.9358
LaF3,6.6,5.1214
LaF3,6.6,4.8904
LaF3,6.6,4.9199
LaF3,6.6,4.816
LaF3,6.6,6.0452
LaF3,6.6,4.9708
LaF3,6.6,5.761
LaF3,6.6,6.0429
LaGaO3,4.4,3.3682
LaGaO3,4.4,3.3659
LaGaO3,4.4,3.2035
LaGaO3,4.4,3.3802
LaGaO3,4.4,3.1939
LaGaO3,4.4,3.3483
LaGaS3,2.5,2.1506
LaGaS3,2.5,2.2366
LaSi,0,2.1752
LaTaN2O,2,0.6713
LaVI5O16,3.58,2.3631
LaZnAsO,1.5,0.576
Li2B4O7,7.3,5.8119
Li2B4O7,7.3,3.7518
Li2CdGeS4,3.1,2.2131
Li2CdSnS4,3.26,1.9176
Li2CrCo3O8,0,0.5611
Li2CrCo3O8,0,0.1317
Li2Fe2(PO4)3,0,0.0019
Li2Fe3CoO8,0,0.0049
Li2Fe3SnO8,0,0.228
Li2Fe3SnO8,0,0.1697
Li2Fe3SnO8,0,0.1095
Li2FeWO6,0,0.0854
Li2Ga2GeS6,3.65,2.1339
Li2In2GeS6,3.45,2.3229
Li2In2GeSe6,2.3,1.5416
Li2In2SiS6,3.61,2.428
Li2In2SiSe6,2.54,1.8159
Li2MgSn,0,0.0475
Li2MnCo3O8,0,1.4201
Li2MnCo3O8,0,0.3293
Li2MnCo3O8,0,0.1376
Li2MnCo3O8,0,0.8725
Li2MnCo3O8,0,0.6605
Li2MnCo3O8,0,0.0064
Li2MnCo3O8,0,1.4201
Li2MnCo3O8,0,0.3293
Li2MnCo3O8,0,0.1376
Li2MnCo3O8,0,0.8725
Li2MnCo3O8,0,0.6605
Li2MnCo3O8,0,0.0064
Li2MnNi3O8,0,0.2074
Li2MnO2F,0,2.404
Li2MnO2F,0,1.0934
Li2MnO2F,0,1.4027
Li2MnO2F,0,0.9824
Li2MnO2F,0,2.21
Li2MnO2F,0,1.7081
Li2MnO2F,0,2.3681
Li2MnO2F,0,2.1221
Li2MnO2F,0,1.8935
Li2MnO2F,0,1.126
Li2MnO2F,0,1.1291
Li2MnO2F,0,0.8933
Li2MnO2F,0,2.2217
Li2MnO2F,0,1.0331
Li2MnO2F,0,0.9467
Li2MnO2F,0,0.633
Li2MnO2F,0,0.8826
Li2MnO2F,0,2.226
Li2MnO2F,0,1.0263
Li2MnO2F,0,0.8574
Li2MnO2F,0,1.0658
Li2Ni2SbO6,0,0.669
Li2Ni3TeO8,0,0.2078
Li2Ni3TeO8,0,0.5263
Li2Ni5(PO4)4,0,3.6441
Li2PtO3,2.3,1.842
Li2Si4Ni5O14,0,2.5811
Li2Si4Ni5O14,0,2.9501
Li2Ti3FeO8,0,0.0051
Li2Ti3FeO8,0,1.9638
Li2Ti3FeO8,0,1.3676
Li2Ti3FeO8,0,0.0051
Li2Ti3FeO8,0,1.9638
Li2Ti3FeO8,0,1.3676
Li2TiMn3O8,0,0.9985
Li2TiMn3O8,0,0.7282
Li2TiMn3O8,0,0.7526
Li2U(MoO5)2,0,2.4115
Li2V2F7,0,0.01
Li2V2F7,0,0.0032
Li2V2F7,0,0.7862
Li2V2F7,0,0.4683
Li2V2F7,0,0.2643
Li2V2F7,0,0.3771
Li2V2F7,0,1.2185
Li2V3CrO8,0,0.9156
Li2V3CrO8,0,1.1214
Li2V3CrO8,0,1.1102
Li2V3CrO8,0,0.1249
Li2V3CrO8,0,1.457
Li2V3CrO8,0,1.0158
Li2V3CrO8,0,1.1108
Li2V3CrO8,0,1.1299
Li2V3CrO8,0,0.6706
Li2V3FeO8,0,1.2828
Li2V3FeO8,0,1.2138
Li2V3FeO8,0,1.0334
Li2V3FeO8,0,1.2357
Li2V3FeO8,0,1.2644
Li2V3FeO8,0,1.0477
Li2ZnSnS4,2.87,2.1758
Li3Bi,0.7,0.3429
Li3Bi,0.7,0.4031
Li3Co3SbO8,0,0.8933
Li3Co3SbO8,0,0.5685
Li3Co3SbO8,0,0.2119
Li3Co3SbO8,0,0.3571
Li3CrCo3O8,0,0.3643
Li3CrCo3O8,0,0.7916
Li3CrCo3O8,0,0.7802
Li3CrO4,0,1.0152
Li3CrO4,0,1.0384
Li3CrO4,0,0.9477
Li3CrO4,0,0.5067
Li3CrO4,0,1.1496
Li3CrO4,0,0.6395
Li3CrO4,0,0.8333
Li3CrO4,0,1.3233
Li3Mn2(CoO4)2,0,0.2269
Li3Mn2(PO4)3,0,1.0426
Li3Mn2(PO4)3,0,1.1909
Li3Mn2(PO4)3,0,1.204
Li3Mn2(PO4)3,0,1.426
Li3Mn2(PO4)3,0,1.0847
Li3Mn2(PO4)3,0,0.9571
Li3Mn2(PO4)3,0,0.7836
Li3Mn2(PO4)3,0,0.7339
Li3Mn2(PO4)3,0,0.8166
Li3Mn2(PO4)3,0,0.877
Li3Mn2(PO4)3,0,0.5819
Li3Mn2(PO4)3,0,0.5011
Li3Mn2(PO4)3,0,1.3973
Li3Mn3NiO8,0,0.4597
Li3Mn3NiO8,0,0.3791
Li3Mn4(PO4)6,0,0.0133
Li3Mn4(PO4)6,0,0.3498
Li3Mn4(PO4)6,0,0.4279
Li3Mn4(PO4)6,0,0.0391
Li3Mn4O8,0,0.5946
Li3Mn4O8,0,0.2701
Li3Mn4O8,0,0.3632
Li3Mn4O8,0,0.2524
Li3Mn4O8,0,0.4203
Li3Mn4O8,0,0.54
Li3Mn4O8,0,1.2818
Li3Mn4O8,0,0.76
Li3Mo2P5O18,0,1.4358
Li3Ni3(PO4)4,0,0.026
Li3PS4,3.68,2.4787
Li3PS4,3.68,2.9579
Li3PS4,3.68,2.8091
Li3ScN2,2.9,2.4014
Li3Ti2(PO4)3,0,0.0156
Li3Ti2(PO4)3,0,0.0341
Li3Ti2(PO4)3,0,0.1295
Li3Ti2(PO4)3,0,0.0778
Li3Ti2(PO4)3,0,0.1246
Li3Ti2(PO4)3,0,0.0102
Li3Ti2(PO4)3,0,0.3681
Li3Ti2(PO4)3,0,0.0021
Li3Ti2(PO4)3,0,0.0555
Li3Ti2(PO4)3,0,0.0264
Li3V4FeO12,0,1.3631
Li3V4FeO12,0,1.3456
Li3V4FeO12,0,1.8668
Li3V4NiO12,0,0.0863
Li3VOF5,0,2.9899
Li3VOF5,0,2.1558
Li3VOF5,0,2.7911
Li4Cr3NiO8,0,0.4122
Li4Cr3NiO8,0,0.4484
Li4Cr3NiO8,0,0.3216
Li4CrO5,0,1.4312
Li4CrO5,0,1.3869
Li4CrO5,0,1.2955
Li4Cu(PO4)2,0,0.0694
Li4Cu(PO4)2,0,0.7775
Li4Cu(PO4)2,0,0.0694
Li4Cu(PO4)2,0,0.7775
Li4Fe3NiO8,0,1.1428
Li4Fe7(OF7)2,0,0.8549
Li4Fe7(OF7)2,0,3.0765
Li4Fe7(OF7)2,0,3.13
Li4Fe7(OF7)2,0,2.6702
Li4MgNi3O8,0,0.7587
Li4MgNi3O8,0,0.3275
Li4MgNi3O8,0,0.2298
Li4Mn(WO4)3,0,1.9685
Li4Mn3Cr3O12,0,0.6887
Li4Ni2(PO4)3,0,0.0052
Li4Ni3BiO8,0,0.3278
Li4Ni3BiO8,0,0.4452
Li4VF7,0,2.6085
Li4WO5,0,3.8894
Li4WO5,0,3.1082
Li5Co2Ni3O10,0,0.4883
Li5Co2Ni3O10,0,0.2273
Li5Fe6(BO3)6,0,1.6058
Li5Mn3(FeO5)2,0,1.0806
Li5Mn6(BO3)6,0,0.2372
Li5Mn6(BO3)6,0,0.7362
Li5Mn6(BO3)6,0,0.0568
Li5Mn6(BO3)6,0,0.4221
Li5Mn6(BO3)6,0,0.4445
Li5Mn6(BO3)6,0,0.1588
Li5Mn6(BO3)6,0,0.4108
Li5Mn6(BO3)6,0,0.1871
Li5Mn6(BO3)6,0,0.3617
Li5Mn6(BO3)6,0,0.1251
Li5Mn6(BO3)6,0,0.3332
Li5Mn6(BO3)6,0,0.4081
Li5Mn6(BO3)6,0,0.1476
Li5Mn6(BO3)6,0,0.3019
Li5Mn6(BO3)6,0,0.164
Li5Mn6(BO3)6,0,0.2498
Li5Mn6(BO3)6,0,0.0916
Li6Mn5CoO12,0,0.5078
Li6Mn5CoO12,0,0.7201
Li8BiS6,0,0.0162
LiAgF3,0,0.2067
LiAgF3,0,0.3228
LiAgF3,0,0.0885
LiAgF3,0,0.3374
LiAgF3,0,0.2356
LiAlGe,0,0.0527
LiAsS2,1.6,1.0664
LiAsSe2,1.1,0.7504
LiAsSe2,1.1,0.4896
LiAsSe2,1.1,0.2048
LiB3O5,7.75,6.1706
LiB3O5,7.75,6.4843
LiBi2(PO4)3,0,0.2874
LiBi2(PO4)3,0,0.2443
LiBi2(PO4)3,0,0.5567
LiBi2(PO4)3,0,0.5374
LiBiS2,0.18,1.4793
LiBiS2,0.18,1.1315
LiBiS2,0.18,0.4173
LiBr,7.5,4.9234
LiBr,7.5,4.9348
LiCa3As2H,1.4,1.4417
LiCdBO3,4.28,2.4534
LiCdBO3,4.28,2.1156
LiCl,9.33,5.7373
LiCl,9.33,6.25
LiCo(CO3)2,0,0.0379
LiCo(CO3)2,0,0.5793
LiCo(CO3)2,0,0.7002
LiCo(CO3)2,0,0.3746
LiCo(CO3)2,0,0.7914
LiCo(CO3)2,0,0.6429
LiCo(CO3)2,0,0.6318
LiCo(CO3)2,0,0.3906
LiCo(CO3)2,0,0.4052
LiCo(CO3)2,0,0.7368
LiCo(CO3)2,0,0.7745
LiCo(CO3)2,0,0.354
LiCo(CO3)2,0,0.0379
LiCo(CO3)2,0,0.5793
LiCo(CO3)2,0,0.7002
LiCo(CO3)2,0,0.3746
LiCo(CO3)2,0,0.7914
LiCo(CO3)2,0,0.6429
LiCo(CO3)2,0,0.6318
LiCo(CO3)2,0,0.3906
LiCo(CO3)2,0,0.4052
LiCo(CO3)2,0,0.7368
LiCo(CO3)2,0,0.7745
LiCo(CO3)2,0,0.354
LiCoS2,0,0.8184
LiCoS2,0,0.6075
LiCoS2,0,0.5787
LiCoS2,0,0.5539
LiCu3F7,0,0.0573
LiCuO2,0,0.1739
LiCuO2,0,0.3301
LiCuO2,0,0.287
LiCuO2,0,0.3163
LiCuO2,0,0.0939
LiCuO2,0,0.4993
LiCuPO4,0,0.2095
LiCuPO4,0,0.5694
LiCuPO4,0,0.1742
LiCuPO4,0,0.0939
LiCuPO4,0,0.5457
LiCuPO4,0,0.2333
LiCuPO4,0,0.0245
LiCuPO4,0,0.3083
LiCuPO4,0,0.3594
LiCuPO4,0,0.5241
LiCuPO4,0,0.2326
LiCuPO4,0,0.5083
LiCuPO4,0,0.3225
LiCuPO4,0,0.0534
LiCuPO4,0,0.0694
LiCuPO4,0,0.1439
LiCuPO4,0,0.5295
LiCuPO4,0,0.3798
LiCuPO4,0,0.0996
LiCuPO4,0,0.2134
LiCuPO4,0,0.0598
LiCuPO4,0,0.3665
LiCuPO4,0,0.4106
LiCuPO4,0,0.0664
LiCuPO4,0,0.1712
LiCuPO4,0,0.5559
LiCuPO4,0,0.2983
LiCuPO4,0,0.2095
LiCuPO4,0,0.5694
LiCuPO4,0,0.1742
LiCuPO4,0,0.0939
LiCuPO4,0,0.5457
LiCuPO4,0,0.2333
LiCuPO4,0,0.0245
LiCuPO4,0,0.3083
LiCuPO4,0,0.3594
LiCuPO4,0,0.5241
LiCuPO4,0,0.2326
LiCuPO4,0,0.5083
LiCuPO4,0,0.3225
LiCuPO4,0,0.0534
LiCuPO4,0,0.0694
LiCuPO4,0,0.1439
LiCuPO4,0,0.5295
LiCuPO4,0,0.3798
LiCuPO4,0,0.0996
LiCuPO4,0,0.2134
LiCuPO4,0,0.0598
LiCuPO4,0,0.3665
LiCuPO4,0,0.4106
LiCuPO4,0,0.0664
LiCuPO4,0,0.1712
LiCuPO4,0,0.5559
LiCuPO4,0,0.2983
LiF,11.7,7.5593
LiF,11.7,8.7161
LiFe2(PO4)3,0,0.1375
LiFe2(PO4)3,0,0.0197
LiFe2(PO4)3,0,0.2584
LiFe2(PO4)3,0,0.0694
LiFe2(SiO4)2,0,0.0188
LiGaO2,5.6,3.1981
LiGaO2,5.6,3.7448
LiGaS2,3.76,2.9608
LiGaSe2,3.13,2.0656
LiGaTe2,2.31,1.5885
LiI,5.62,4.2306
LiI,5.62,4.2319
LiI,5.62,4.3818
LiInS2,3.56,2.1875
LiInSe2,2.83,0.8381
LiInSe2,2.83,1.5731
LiInSe2,2.83,1.6234
LiInSe2,2.83,0.4148
LiInTe2,1.46,1.3847
LiIO3,4.37,2.5038
LiIO3,4.37,3.6861
LiIO3,4.37,3.6546
LiIO3,4.37,3.7886
LiIO3,4.37,3.5742
LiMgAs,0.7,1.3723
LiMgBi,0.4,0.3587
LiMgN,3.2,2.2065
LiMgN,3.2,2.4462
LiMn(PO4)2,0,0.1037
LiMn(PO4)2,0,0.6001
LiMn(PO4)2,0,0.3041
LiMn2(PO4)2,0,0.2787
LiMn2(PO4)2,0,0.1185
LiMn2(PO4)2,0,0.1326
LiMn2(PO4)2,0,0.3659
LiMn2(PO4)2,0,0.081
LiMn2(PO4)2,0,0.7391
LiMn2(PO4)2,0,0.8268
LiMn2(PO4)2,0,0.2913
LiMn2(PO4)2,0,0.2121
LiMn2(PO4)2,0,0.4322
LiMn2(PO4)2,0,0.3469
LiMn2(PO4)2,0,0.1433
LiMn4O8,0,0.1557
LiMn4O8,0,0.1788
LiMn4O8,0,0.5743
LiMnCoO4,0,0.2462
LiMnO2,0,0.9368
LiMnO2,0,1.0854
LiMnO2,0,0.803
LiMnO2,0,0.35
LiMnO2,0,1.6645
LiMnO2,0,1.4906
LiMnO2,0,1.9855
LiMnO2,0,1.4274
LiMnO2,0,1.2682
LiMnO2,0,0.8968
LiMnO2,0,1.1504
LiMnO2,0,0.5065
LiMnP2O7,0,1.299
LiMnP2O7,0,0.6491
LiMnP2O7,0,0.5258
LiMnP2O7,0,0.6117
LiMnP2O7,0,0.6032
LiMnP2O7,0,0.0944
LiMnP2O7,0,1.3411
LiMnP2O7,0,1.4202
LiMnP2O7,0,1.7196
LiMnP2O7,0,1.272
LiMnP2O7,0,0.9889
LiMnP2O7,0,1.3147
LiMnP2O7,0,1.0879
LiMnP2O7,0,1.2405
LiMnP2O7,0,1.144
LiMnP2O7,0,1.7197
LiMnP2O7,0,0.9474
LiMnP2O7,0,1.7334
LiMnP2O7,0,1.2363
LiMnP2O7,0,1.5927
LiMnP2O7,0,1.229
LiMnP2O7,0,1.428
LiMnP2O7,0,0.9471
LiMnP2O7,0,1.0106
LiMnP2O7,0,0.3033
LiMnP2O7,0,1.1919
LiMnP2O7,0,0.9092
LiMnP2O7,0,1.3693
LiMnP2O7,0,0.4067
LiMnP2O7,0,0.9061
LiMnP2O7,0,1.1431
LiMnP2O7,0,1.6376
LiMnP2O7,0,0.4615
LiMnP2O7,0,0.4679
LiMnP2O7,0,0.4323
LiMnP2O7,0,0.3766
LiMnP2O7,0,0.1095
LiMnP2O7,0,0.2467
LiMnSiO4,0,0.1707
LiMnSiO4,0,1.2118
LiMnSiO4,0,0.9587
LiMnSiO4,0,1.1486
LiMnSiO4,0,0.1955
LiMnSiO4,0,1.3111
LiMnSiO4,0,1.4767
LiMnSiO4,0,1.0511
LiMnSiO4,0,0.4486
LiMnSiO4,0,0.0328
LiMnSiO4,0,0.9906
LiMnSiO4,0,1.0289
LiMnSiO4,0,1.6443
LiMnSiO4,0,0.8937
LiMoIO6,2.8,2.2334
LiNbO3,4,3.684
LiNbO3,4,3.1296
LiNbO3,4,3.3358
LiNbO3,4,2.275
LiNbO3,4,2.9621
LiNbO3,4,3.0192
LiNbO3,4,2.9794
LiNbO3,4,3.0381
LiNbO3,4,3.4857
LiNbO3,4,3.4233
LiNbO3,4,2.8678
LiNi2(PO4)3,0,0.0904
LiNi2(PO4)3,0,0.0127
LiNiP2O7,0,0.075
LiNiP2O7,0,0.0323
LiNiP2O7,0,0.5763
LiNiP2O7,0,0.0336
LiNiP2O7,0,0.0239
LiNiP2O7,0,0.3836
LiNiP2O7,0,0.0513
LiNiP2O7,0,0.0922
LiNiP2O7,0,0.0439
LiSbS2,1.36,0.0911
LiSbS2,1.36,1.2569
LiSbS2,1.36,0.3905
LiSbS2,1.36,0.0072
LiSbSe2,0.68,0.3339
LiSbSe2,0.68,0.2287
LiSbTe2,0.129,0.1759
LiSn(PO3)4,0,0.0684
LiSn(PO3)4,0,0.0162
LiSn(PO3)4,0,3.0191
LiSn(PO3)4,0,0.0877
LiSn(PO3)4,0,0.0571
LiSn(PO3)4,0,0.0684
LiSn(PO3)4,0,0.0162
LiSn(PO3)4,0,3.0191
LiSn(PO3)4,0,0.0877
LiSn(PO3)4,0,0.0571
LiTaO3,4.1,3.7436
LiTaO3,4.1,2.4709
LiTaO3,4.1,3.4719
LiTaO3,4.1,3.7003
LiTaO3,4.1,2.5608
LiTiSiO4,0,0.0483
LiV2NiO6,0,1.5283
LiV2NiO6,0,0.1541
LiV3O4,0,0.1168
LiV3O4,0,0.0166
LiV3O4,0,0.1358
LiV3O4,0,0.2221
LiV3O4,0,0.4256
LiZnBO3,3.1,3.5248
LiZnBO3,3.1,0.0357
LiZnBO3,3.1,2.9769
LiZnBO3,3.1,3.556
LiZnN,1.98,0.5187
Lu2O3,5.5,4.0883
Lu2O3,5.5,4.0211
Lu2O3,5.5,4.2763
Mg2CuWO6,0,0.2642
Mg2Ge,1.67,0.1689
Mg2GeSe4,2.02,1.4938
Mg2Si,2.27,0.218
Mg3As2,2.2,1.6654
Mg3As2,2.2,0.5454
Mg3Bi2,0,0.3094
Mg3N2,2.8,1.9528
Mg3P2,1.4,1.7981
Mg3P2,1.4,1.1058
Mg3Sb2,0.82,1.3212
Mg3Sb2,0.82,0.2172
Mg5B3O9F,5.63,5.3181
MgCo2(PO5)2,0,0.0595
MgF2,11.1,6.8477
MgF2,11.1,6.4719
MgF2,11.1,6.824
MgF2,11.1,6.7193
MgF2,11.1,6.3826
MgGeN2,4.2,2.6358
MgMnO3,0,0.6265
MgO,7.777,2.2579
MgO,7.777,3.0483
MgO,7.777,2.8821
MgO,7.777,3.0614
MgO,7.777,3.8943
MgO,7.777,3.0171
MgO,7.777,2.7412
MgO,7.777,3.304
MgO,7.777,3.1951
MgO,7.777,0.0014
MgO,7.777,2.2025
MgO,7.777,1.9229
MgO,7.777,2.8658
MgO,7.777,1.9477
MgO,7.777,1.8773
MgO,7.777,2.0815
MgO,7.777,2.075
MgO,7.777,1.8877
MgO,7.777,4.4292
MgO,7.777,3.3701
MgO,7.777,3.4119
MgO,7.777,3.4246
MgSe,5.63,2.5765
MgSe,5.63,1.7609
MgSe,5.63,2.5476
